Name,Type,Problem,fixed YES/NO,,,,,,,,,,
nokia 1280,CELL,lcd,YES,,,,,,,,,,
condor l1,SMARTPHONE,charge,NO,,,,,,,,,,
samsung j6+,SMARTPHONE,charge,YES,,,,,,,,,,
samsung a20,SMARTPHONE,frp,YES,,,,,,,,,,
condor a8,SMARTPHONE,flash,NO,,,,,,,,,,
huawei nova 4 ,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung b310,CELL,lcd,YES,,,,,,,,,,
condor h1,SMARTPHONE,camera,NO,,,,,,,,,,
samsung g532,SMARTPHONE,sound ,YES,,,,,,,,,,
samsung b310,SMARTPHONE,lcd,YES,,,,,,,,,,
iris is3 + ,SMARTPHONE,touch,YES,,,,,,,,,,
huawei honor7c ,SMARTPHONE,charge,YES,,,,,,,,,,
samsung m20,SMARTPHONE,lcd,YES,,,,,,,,,,
condor g5,SMARTPHONE,charge,YES,,,,,,,,,,
raylan,CELL,charge,NO,,,,,,,,,,
doogee x5 ,SMARTPHONE,charge,YES,,,,,,,,,,
samsung j5-2016,SMARTPHONE,lcd,YES,,,,,,,,,,
condor 717,PAD,charge,YES,,,,,,,,,,
samsung j7pro,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung m11,SMARTPHONE,charge,YES,,,,,,,,,,
condor a8,SMARTPHONE,off,YES,,,,,,,,,,
condor p8 ,SMARTPHONE,frp,YES,,,,,,,,,,
samsung a20,SMARTPHONE,lcd,YES,,,,,,,,,,
huawei y6-2 ,SMARTPHONE,battery,YES,,,,,,,,,,
samsung b310,CELL,flash arabic,NO,,,,,,,,,,
samsung a10,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung g532,SMARTPHONE,touch,YES,,,,,,,,,,
oppo a5s,SMARTPHONE,lcd,YES,,,,,,,,,,
lg xpower2,SMARTPHONE,battery,YES,,,,,,,,,,
condor a8,SMARTPHONE,charge,NO,,,,,,,,,,
samsung a10s,SMARTPHONE,lcd,YES,,,,,,,,,,
oppo a1k,SMARTPHONE,lcd,YES,,,,,,,,,,
huawei y6p,SMARTPHONE,lcd,YES,,,,,,,,,,
huawei y7-prime-2018,SMARTPHONE,lcd,YES,,,,,,,,,,
condor p6pro,SMARTPHONE,off,YES,,,,,,,,,,
condor p6pro,SMARTPHONE,lcd,YES,,,,,,,,,,
samsung j5pro,SMARTPHONE,mic,YES,,,,,,,,,,
condor f5,CELL,mic,YES,,,,,,,,,,
samsung g350,CELL,charge,NO,,,,,,,,,,
condor p6prolte,SMARTPHONE,off,YES,,,,,,,,,,
